feature	ASV2	ASV3	ASV4	ASV6	ASV17	ASV20	ASV24	ASV32	ASV70	ASV105
22010-0051	-2.79501965273433	-3.33267643867713	-1.6795424353144	-11.7708290460325	-6.55647980882129	-4.63777991092314	-7.04586464956021	-5.68021517724353	-1.44766896096706	-12.9204591978794
22010-0052	-2.0770232952556	-4.64888324355094	-1.23469664081159	-11.7708290460325	-5.04588681999952	-4.79560311618918	-4.37117914892026	-4.37680369811414	-4.04141334342021	-3.74199264794242
22010-0053	-2.7577583594822	-4.87647213471698	-0.525871649946956	-4.64134886736689	-6.67072346950041	-12.2667865406949	-7.51507259904021	-5.79459512766257	-4.46275156391013	-7.68910199881526
22010-0054	-3.43261878750333	-1.6446607501543	-1.16524851423284	-11.7708290460325	-5.71623407075958	-7.53859115615643	-9.19570344263342	-8.14125565861104	-3.15805090115402	-12.9204591978794
22010-0055	-6.64250904563813	-3.30908531191293	-5.66187437050506	-1.73625979035619	-7.37947463980433	-6.28636523541285	-4.18833315245232	-7.37947463980433	-10.5493996412466	-1.03251775042545
22010-0056	-6.60616723365805	-3.02378327703867	-3.90731376640891	-1.45729121916578	-5.11339843114664	-4.59079200777113	-3.47688421671308	-3.85433628992792	-7.13553740841589	-2.32552900935334
22010-0057	-8.2667865406949	-5.48106163460884	-6.07696198181488	-0.108387234550193	-11.0443941193585	-11.2667865406949	-7.22239242133645	-7.87446911791614	-9.32818708535904	-5.75371695845553
22010-0058	-9.1875582755936	-0.415931255914998	-6.86563018070624	-3.67185843730956	-3.23433184426234	-6.88987772695291	-6.45059268142739	-4.83000627097552	-11.5493996412466	-11.1875582755936
22010-0059	-3.51910995342653	-2.78555633177904	-0.58125154512737	-10.7708290460325	-8.44890095114513	-9.00529429966951	-8.70043971814109	-7.8073549220576	-3.52100449741631	-12.9204591978794
22010-0060	-5.820299402791	-3.7408649352966	-1.14707367520071	-9.02465790129719	-5.66557680799236	-5.82712066864702	-3.91340880718249	-1.79249770371192	-4.7408649352966	-5.36334451444592
22010-0061	-9.28013805538869	-0.724503140795699	-10.739569674026	-11.7708290460325	-2.4426534671467	-3.31330491932389	-4.39971967114136	-5.36453024267906	-11.5493996412466	-4.77956774195791
22010-0062	-10.9472716524603	-2.1524032694668	-11.739569674026	-0.57141753423278	-5.03621025196228	-7.7504557696284	-9.48742136379461	-3.93027680721321	-11.5493996412466	-12.9204591978794
22010-0063	-9.58231842574154	-1.94252553246223	-11.739569674026	-9.15605367103944	-3.68220636276408	-1.64090395479863	-3.24804514043435	-2.93261316027013	-11.5493996412466	-3.29345235157572
22010-0064	-10.9472716524603	-0.864709051099669	-10.5247049435296	-6.98038442730584	-2.90265312407327	-3.74991788392847	-4.02485905644644	-3.31200591839704	-11.5493996412466	-3.7945178819945
22010-0065	-10.9472716524603	-1.17971927115737	-11.739569674026	-3.09071246944999	-2.26029185014812	-3.86313738171372	-3.93791950736167	-3.49368591517616	-7.53286609665545	-7.85909432897644
22010-0066	-10.9472716524603	-0.809363670954561	-11.739569674026	-3.22578134353381	-3.52415247427609	-4.54329752354279	-3.85562133637306	-3.0163876908678	-11.5493996412466	-12.9204591978794
22010-0067	-0.842689752832858	-1.77452705205884	-11.739569674026	-11.7708290460325	-4.04569735498688	-6.46571927456678	-6.39242376524303	-3.91965434706858	-11.5493996412466	-11.9204591978794
22010-0068	-1.85874408856132	-1.37998998112635	-3.81250357896915	-5.93653087046262	-3.72353714712842	-3.03051490054981	-4.96300308182381	-5.59376927215809	-11.5493996412466	-9.19432862793027
22010-0069	-10.9472716524603	-0.432142458117844	-5.27227579424026	-9.08202523143825	-3.16343930219736	-4.37900696919538	-5.22520163311635	-4.58644904906586	-11.5493996412466	-8.33836498469804
22010-0070	-9.94727165246035	-0.348753841847726	-11.739569674026	-5.75744709358033	-3.51264342482362	-4.67114724718611	-5.92490383943189	-6.16591193893569	-11.5493996412466	-4.71845296196447
22010-0071	-8.41161186519569	-1.03546924508089	-11.739569674026	-3.45078246247636	-1.46445039635641	-12.2667865406949	-5.65418216846976	-5.26477047686642	-11.5493996412466	-6.71646644672411
22010-0072	-8.2844533894687	-1.29737161639607	-3.57408845745315	-3.53162247359917	-2.63211398825385	-4.54194961176106	-4.56423105913707	-3.70026176509016	-11.5493996412466	-3.38003104945093
22010-0073	-10.9472716524603	-2.1941130538833	-9.18995457240156	-5.77254616865998	-5.32413991979596	-1.04529632956968	-3.74613856667388	-3.21026614243093	-11.5493996412466	-3.84916745026289
22010-0074	-10.9472716524603	-0.820076613801845	-2.24830069393536	-3.84711824048357	-5.05881077316281	-12.2667865406949	-4.87970244955516	-3.69439934695393	-11.5493996412466	-6.33182926756922
22010-0075	-2.48058104714593	-1.1989878170015	-7.14282954878291	-5.2560401592309	-3.00966309735072	-5.07308847749235	-5.18075203192667	-4.21790503034413	-11.5493996412466	-3.09761079662642
