feature	ASV1	ASV3	ASV4	ASV6	ASV17	ASV20	ASV24	ASV31	ASV50
22010-0051	-2.13617812628337	-2.67383491222617	-1.02070090886343	-11.63915979511	-5.89763828237032	-3.97893838447217	-6.38702312310925	-5.02137365079257	-12.5581549403665
22010-0052	-1.98663296651181	-4.55849291480715	-1.1443063120678	-11.63915979511	-4.95549649125573	-4.70521278744539	-4.28078882017647	-4.28641336937035	-3.65160231919863
22010-0053	-2.69080206585145	-4.80951584108623	-0.458915356316208	-4.57439257373614	-6.60376717586966	-12.2645403404821	-7.44811630540946	-5.72763883403183	-7.62214570518451
22010-0054	-3.26120262826326	-1.47324459091423	-0.993832354992773	-11.63915979511	-5.54481791151951	-7.36717499691636	-9.02428728339335	-7.96983949937098	-12.5581549403665
22010-0056	-6.59587018696803	-3.01348623034865	-3.89701671971889	-1.44699417247575	-5.10310138445662	-4.58049496108111	-3.46658717002306	-3.8440392432379	-2.31523196266331
22010-0057	-8.26454034048211	-5.47881543439605	-6.07471578160209	-0.106141034337403	-11.0421479191457	-11.2645403404821	-7.22014622112366	-7.87222291770335	-5.75147075824274
22010-0058	-9.1875582755936	-0.415931255914998	-6.86563018070624	-3.67185843730956	-3.23433184426234	-6.88987772695291	-6.45059268142739	-4.83000627097552	-11.1875582755936
22010-0059	-3.38744070250401	-2.65502620056899	-0.449582294204849	-10.63915979511	-8.31723170022261	-8.87362504874699	-8.56877046721857	-7.67568567113508	-12.5581549403665
22010-0060	-5.76530955787896	-3.68587509038455	-1.09208383028866	-8.96966805638514	-5.61058696308031	-5.77213082373497	-3.85841896227044	-1.73750785879987	-5.30835466953387
22010-0061	-9.27591285090171	-0.725865723650939	-10.735344469539	-11.63915979511	-2.43842826265971	-3.30907971483691	-4.41341637465164	-5.36030503819208	-4.77534253747092
22010-0063	-9.58231842574154	-1.94252553246223	-11.735344469539	-9.15605367103944	-3.68220636276408	-1.64090395479863	-3.24804514043435	-2.93261316027013	-3.29345235157572
22010-0064	-10.9472716524603	-0.864709051099669	-10.5247049435296	-6.98038442730584	-2.90265312407327	-3.74991788392847	-4.02485905644644	-3.31200591839704	-3.7945178819945
22010-0065	-10.9472716524603	-1.1719078312	-11.735344469539	-3.08290102949262	-2.25248041019075	-3.85532594175635	-3.9301080674043	-3.48587447521879	-7.85128288901907
22010-0066	-10.9472716524603	-0.807650247648877	-11.735344469539	-3.22530894829682	-3.5318540104848	-4.5428251283058	-3.85514894113607	-3.01974207517132	-12.5581549403665
22010-0067	-0.842955574704685	-1.77479287393066	-11.735344469539	-11.63915979511	-4.04596317685871	-6.4659850964386	-6.39268958711486	-3.91750830706764	-11.5581549403665
22010-0068	-1.85863701207477	-1.3798829046398	-3.8123965024826	-5.93642379397607	-3.72343007064187	-3.03040782406326	-4.97294967000118	-5.5833571872798	-9.19422155144372
22010-0069	-10.9472716524603	-0.431494826830096	-5.27413182825528	-9.08388126545327	-3.16529533621237	-4.3808630032104	-5.22705766713136	-4.58830508308087	-8.34022101871305
22010-0070	-9.94727165246035	-0.348753841847726	-11.735344469539	-5.75744709358033	-3.51264342482362	-4.67114724718611	-5.92490383943189	-6.16591193893569	-4.71845296196447
22010-0071	-8.41161186519569	-1.03546924508089	-11.735344469539	-3.45078246247636	-1.46445039635641	-12.2645403404821	-5.65418216846976	-5.26477047686642	-6.71646644672411
22010-0072	-8.2844533894687	-1.29737161639607	-3.57408845745315	-3.53162247359917	-2.63211398825385	-4.54194961176106	-4.56423105913707	-3.70026176509016	-3.38003104945093
22010-0073	-10.9472716524603	-2.19450302416298	-9.19034454268125	-5.77293613893965	-5.32452989007564	-1.04568629984936	-3.74652853695356	-3.21065611271061	-3.84394745219998
22010-0074	-10.9472716524603	-0.820076613801845	-2.24830069393536	-3.84711824048357	-5.05881077316281	-12.2645403404821	-4.87970244955516	-3.69439934695393	-6.33182926756922
22010-0075	-2.48058104714593	-1.1989878170015	-7.14282954878291	-5.25604015923091	-3.00966309735072	-5.07308847749235	-5.18075203192667	-4.21790503034413	-3.09761079662642
