feature	ASV1	ASV3	ASV4	ASV6	ASV17	ASV20	ASV24	ASV31	ASV50
22010-0051	0.227481617647059	0.156709558823529	0.492876838235294	0	0.0167738970588235	0.0634191176470588	0.0119485294117647	0.0307904411764706	0
22010-0052	0.252327094384946	0.0424381943749374	0.452407166449805	0	0.0322290061054949	0.0383345010509458	0.0514463016715043	0.0512461215093584	0.0795716144530077
22010-0053	0.154877334548058	0.0356608316522418	0.727533025313984	0.0419730591527299	0.010281772629661	0	0.00572655690765927	0.0188716079911499	0.00507581180451617
22010-0054	0.104299010193529	0.360171369478505	0.502142118481312	0	0.0214211848131186	0.00605702467129561	0.00192052001772788	0.00398877234451175	0
22010-0056	0.0103382070595185	0.123836951705804	0.067124501550731	0.36678481760449	0.0290946684389307	0.0417958942549106	0.0904593117707872	0.0696352089794713	0.200930438635357
22010-0057	0.003251812207845	0.0224239550165978	0.0148363931982928	0.929069846216381	0.000474222613644062	0.000406476525980625	0.00670686267868031	0.00426800352279656	0.0185624280197819
22010-0058	0.00171502072316707	0.749535515220809	0.00857510361583536	0.0784621980848935	0.10625982563956	0.0084321852222381	0.0114334714877805	0.035157924824925	0.000428755180791768
22010-0059	0.0955605718585402	0.158765989465764	0.732254828191623	0.000627037873087534	0.00313518936543767	0.00213192876849762	0.00263355906696764	0.00489089541008277	0
22010-0060	0.018385222443847	0.0777035816494667	0.469083340560229	0.00199462318966265	0.0204665683808863	0.0182984996964704	0.0689445841644263	0.29988726042841	0.0252363194866013
22010-0061	0.00161313975656255	0.604634110573398	0.000586596275113653	0	0.184484528523244	0.100894559319548	0.0469277020090922	0.0243437454172166	0.0365156181258249
22010-0063	0.00130447189270719	0.26016061310179	0	0.00175288410582528	0.0779014308426073	0.320655497126085	0.105254575842811	0.130977130977131	0.101993396111043
22010-0064	0	0.549157144473357	0.000678809820115398	0.0079194479013463	0.133725534562733	0.074329675302636	0.0614322887204435	0.100690123317117	0.0720669759022514
22010-0065	0	0.443834022750776	0	0.118019648397104	0.209862978283351	0.0690925542916236	0.0656023784901758	0.0892580144777663	0.00433040330920372
22010-0066	0	0.571311609628295	0	0.106926477812346	0.0864581627640413	0.0429015883412478	0.0691010316030784	0.123301129850991	0
22010-0067	0.557500276355061	0.292236265153469	0	0	0.0605401820258668	0.0113121338295442	0.0119016912929732	0.0661778252699068	0.00033162607317882
22010-0068	0.27573665850219	0.38424998144437	0.0711793958286944	0.0163289542047057	0.0757069694945446	0.122392934016181	0.0318414606991761	0.0208565278705559	0.00170711793958287
22010-0069	0	0.741493100197137	0.0258421187966058	0.00184280449130025	0.111468243764464	0.0479986286106111	0.0266992371646524	0.0415702408502614	0.00308562612496786
22010-0070	0.00101291466193973	0.785262091668777	0	0.0184856925804001	0.0876171182577868	0.0392504431501646	0.0164598632565206	0.0139275766016713	0.0379842998227399
22010-0071	0.00293665221647322	0.48785717615252	0	0.0914557404558803	0.362373560807346	0	0.0198573626066284	0.0260103482030485	0.00950915955810376
22010-0072	0.00320723684210526	0.406866776315789	0.0839638157894737	0.0864720394736842	0.161307565789474	0.0429276315789474	0.0422697368421053	0.0769325657894737	0.0960526315789473
22010-0073	0	0.218468468468469	0.00171171171171171	0.0182882882882883	0.024954954954955	0.484414414414414	0.0745045045045045	0.108018018018018	0.0696396396396396
22010-0074	0	0.566411862750733	0.210471866199207	0.0694867521121903	0.0300017242370251	0	0.0339674693947928	0.0772458187252141	0.012414506580838
22010-0075	0.179172229639519	0.435580774365821	0.00707610146862483	0.0261682242990654	0.124165554072096	0.0297062750333778	0.0275700934579439	0.0537383177570093	0.116822429906542
